source,landmark_estimate,eccentricity,reached,distance_sum
738349,499,546,1957027,609061855
816987,429,546,1957027,596847826
1477840,538,546,1957027,520705354
1480838,524,546,1957027,535575146
1482399,519,546,1957027,533371531
1494576,530,546,1957027,523099847
1538588,479,546,1957027,465061241
846826,483,547,1957027,519263132
857962,480,547,1957027,495791736
1511934,484,547,1957027,483849958
1553522,480,547,1957027,483123844
1803425,496,547,1957027,555656647
712164,500,548,1957027,599160803
736206,469,548,1957027,585870306
737478,470,548,1957027,586837267
861588,481,548,1957027,494229991
1488106,540,548,1957027,515516261
1589367,481,548,1957027,482878406
1605546,502,548,1957027,492180942
718944,520,549,1957027,609315616
861131,482,549,1957027,502158547
1193908,510,549,1957027,513315750
1484387,527,549,1957027,527542773
1493628,513,549,1957027,536631411
1513005,486,549,1957027,480507419
1554886,482,549,1957027,487374566
1800170,512,549,1957027,559359690
1887615,476,549,1957027,591155037
361,550,550,1957027,515106116
108904,542,550,1957027,515233007
1486894,528,550,1957027,541539497
1537453,483,550,1957027,470055917
1803597,499,550,1957027,571126117
139380,543,551,1957027,511478641
732920,484,551,1957027,463160140
746989,502,551,1957027,599328943
831266,484,551,1957027,496231727
1492351,529,551,1957027,536811726
1496161,488,551,1957027,508261598
1658463,484,551,1957027,498186816
94288,501,552,1957027,565435731
865004,485,552,1957027,499691909
1481401,525,552,1957027,541067560
1488324,536,552,1957027,534815998
1507346,489,552,1957027,499361140
1550309,485,552,1957027,493170830
1562751,489,552,1957027,462184162
832549,486,553,1957027,500956907
1488995,535,553,1957027,536596363
1495792,531,553,1957027,527682297
1514279,490,553,1957027,490659583
1567433,490,553,1957027,460786322
1648860,486,553,1957027,499252369
862627,487,554,1957027,500957951
1488890,537,554,1957027,539014089
1517026,491,554,1957027,498290794
1534957,487,554,1957027,495373946
1571326,491,554,1957027,455960366
1606906,538,554,1957027,529184519
94102,504,555,1957027,565701240
833974,492,555,1957027,525642220
1520370,492,555,1957027,475449053
1549597,488,555,1957027,490625167
1896052,465,555,1957027,620830394
833142,490,556,1957027,504245201
1598242,492,556,1957027,493971614
108075,553,557,1957027,492057493
183672,505,557,1957027,540995311
1898227,482,557,1957027,635060149
1899252,480,557,1957027,634112090
32933,555,558,1957027,523808794
183481,506,558,1957027,542355134
704340,529,558,1957027,610619859
832751,491,558,1957027,508118951
843879,506,558,1957027,536596012
849877,495,558,1957027,528683758
1146349,555,558,1957027,508288755
736386,509,559,1957027,611567158
843282,496,559,1957027,516638845
845034,512,559,1957027,544911417
1481951,520,559,1957027,557645329
1518071,496,559,1957027,477407307
1578477,496,559,1957027,450862747
1889839,485,559,1957027,624517794
144499,557,560,1957027,518468386
184660,508,560,1957027,522623488
726530,493,560,1957027,479239260
846748,493,560,1957027,533404829
1507341,497,560,1957027,510430474
1532243,493,560,1957027,506885644
1562689,497,560,1957027,475535518
1634173,493,560,1957027,505566685
143312,558,561,1957027,511990341
704333,532,561,1957027,611371532
863202,494,561,1957027,509860241
1148070,539,561,1957027,551993804
1536665,494,561,1957027,508567764
1605205,555,561,1957027,523509982
1648703,494,561,1957027,515663206
1422,551,562,1957027,522664717
210197,510,562,1957027,546755505
701361,498,562,1957027,594310944
819283,489,562,1957027,618883926
1517321,499,562,1957027,484654294
1534200,495,562,1957027,503301807
1586100,499,562,1957027,453856021
1604183,523,562,1957027,524279618
1621339,495,562,1957027,498238246
435,563,563,1957027,525414086
138777,559,563,1957027,524184440
139012,556,563,1957027,528006483
207814,511,563,1957027,566743240
732823,496,563,1957027,472487827
847185,499,563,1957027,542638841
1147342,556,563,1957027,534640589
1601863,554,563,1957027,542564154
1618456,532,563,1957027,532170465
35067,561,564,1957027,538057936
828794,497,564,1957027,510005863
1508701,501,564,1957027,498425214
1577275,501,564,1957027,479928399
1604837,558,564,1957027,544161806
1617663,533,564,1957027,532762091
1618668,531,564,1957027,532686155
1623093,520,564,1957027,523118846
190956,513,565,1957027,525770122
843865,501,565,1957027,528597158
1147523,557,565,1957027,546444313
1193001,511,565,1957027,526812555
1466771,498,565,1957027,491455635
1479672,543,565,1957027,563541832
1543449,498,565,1957027,495107752
1592605,542,565,1957027,544767108
1754095,498,565,1957027,484898910
124834,554,566,1957027,513195836
131440,560,566,1957027,512483098
146098,565,566,1957027,522047677
188429,514,566,1957027,537571293
700549,502,566,1957027,596216181
1895913,461,566,1957027,630210832
91718,495,567,1957027,604810372
129513,561,567,1957027,522287901
130766,555,567,1957027,509591121
186550,515,567,1957027,525616666
837367,504,567,1957027,522399434
1466930,500,567,1957027,496989281
1499900,504,567,1957027,493562476
1543510,500,567,1957027,493983194
1574486,504,567,1957027,488510528
1753611,500,567,1957027,486013587
1902009,492,567,1957027,645516119
33745,564,568,1957027,524503475
89622,494,568,1957027,606101823
184452,516,568,1957027,541934189
702743,528,568,1957027,610030306
734219,501,568,1957027,476692711
849714,505,568,1957027,543626549
1512212,505,568,1957027,502185932
1577373,505,568,1957027,487896274
99403,526,569,1957027,573293186
121774,562,569,1957027,534333268
145282,563,569,1957027,519938737
1476601,561,569,1957027,553200162
1502055,506,569,1957027,518153544
1535783,502,569,1957027,518220356
1574164,506,569,1957027,492394021
110585,536,570,1957027,498415350
144490,567,570,1957027,531112177
1174670,567,570,1957027,534679909
1552753,503,570,1957027,492119673
1643364,539,570,1957027,544945957
1734334,561,570,1957027,514226149
1753922,503,570,1957027,494642327
1886183,464,570,1957027,631574733
39720,559,571,1957027,537671990
95490,499,571,1957027,612503756
126345,564,571,1957027,529735973
144614,570,571,1957027,519703706
235573,535,571,1957027,593853497
716765,507,571,1957027,590641294
718004,542,571,1957027,607897505
730821,504,571,1957027,488464743
833911,508,571,1957027,543174132
1567580,508,571,1957027,456199677
1599001,559,571,1957027,543281803
1616885,540,571,1957027,543436402
34139,566,572,1957027,538860606
36742,560,572,1957027,537764644
42207,568,572,1957027,544556564
128929,566,572,1957027,531909485
734359,505,572,1957027,468838927
851708,509,572,1957027,547758962
1508946,509,572,1957027,512977942
1576801,509,572,1957027,497063491
1599619,566,572,1957027,542476926
53059,551,573,1957027,583688525
87454,522,573,1957027,582554513
732267,506,573,1957027,479948065
1521137,510,573,1957027,492591523
1577669,510,573,1957027,498038362
1752741,506,573,1957027,497971926
39431,544,574,1957027,528261974
87225,523,574,1957027,583101695
137357,568,574,1957027,519982824
137626,573,574,1957027,525659815
449190,522,574,1957027,529411898
1467719,507,574,1957027,508501912
1509051,511,574,1957027,511134785
1542322,507,574,1957027,489204593
1575661,511,574,1957027,499886577
1599432,568,574,1957027,547878774
1639767,545,574,1957027,529167225
1741737,552,574,1957027,516930795
88474,524,575,1957027,586405851
195682,546,575,1957027,604938817
231363,523,575,1957027,537951203
731618,508,575,1957027,482393632
1498632,512,575,1957027,526902282
1574715,512,575,1957027,504063417
1592045,553,575,1957027,563208124
1624573,508,575,1957027,530346952
1752687,553,575,1957027,518345481
4745,552,576,1957027,533442263
138156,576,576,1957027,531225178
194600,512,576,1957027,577113505
214328,537,576,1957027,593501819
217610,536,576,1957027,586013670
834927,513,576,1957027,540627417
1575325,513,576,1957027,504984433
1600828,570,576,1957027,560231012
1621062,524,576,1957027,538682039
1635594,509,576,1957027,521942119
1640032,548,576,1957027,534326801
4038,510,577,1957027,485113000
33530,576,577,1957027,544419665
40783,571,577,1957027,541596989
135696,571,577,1957027,540853036
231289,525,577,1957027,544004263
834259,514,577,1957027,539892442
1177397,569,577,1957027,566173199
1197324,542,577,1957027,560483718
1575207,514,577,1957027,506130516
1635657,510,577,1957027,528798617
1739396,529,577,1957027,495541477
3308,511,578,1957027,487796234
40380,556,578,1957027,545058768
84212,545,578,1957027,590252482
126515,569,578,1957027,540587121
145952,575,578,1957027,553294383
448833,526,578,1957027,536961395
829198,515,578,1957027,550152701
1181274,571,578,1957027,551190473
1574761,515,578,1957027,510501729
1628750,511,578,1957027,534328791
1639886,549,578,1957027,536655114
43477,573,579,1957027,542939256
457257,527,579,1957027,529628909
731431,512,579,1957027,486026536
1572525,516,579,1957027,496609807
1625924,512,579,1957027,536533368
48226,558,580,1957027,585451528
95616,546,580,1957027,594272354
123711,533,580,1957027,501956652
128320,574,580,1957027,542820589
134475,577,580,1957027,548429878
134747,578,580,1957027,548666171
726889,518,580,1957027,486084440
730366,513,580,1957027,495861471
823042,516,580,1957027,621826850
1177126,573,580,1957027,557177632
1573682,517,580,1957027,487663916
1604949,574,580,1957027,565705331
1626497,513,580,1957027,537286604
1736482,567,580,1957027,534001098
1745652,563,580,1957027,532121182
1885573,462,580,1957027,642583626
1950186,578,580,1957027,523564379
20696,569,581,1957027,547532407
89455,507,581,1957027,622388224
109089,521,581,1957027,492026084
727452,514,581,1957027,491841401
823167,517,581,1957027,618844509
1574970,518,581,1957027,513974305
1629038,514,581,1957027,540137178
1645171,547,581,1957027,561896776
1746112,569,581,1957027,534894343
1776130,525,581,1957027,494823580
5283,515,582,1957027,496637028
31133,562,582,1957027,549927117
726120,515,582,1957027,503309966
1571648,519,582,1957027,463223179
1626560,515,582,1957027,542181453
1738477,551,582,1957027,525234587
1744903,560,582,1957027,530650525
1905369,519,582,1957027,442929281
5207,516,583,1957027,498611298
128202,580,583,1957027,554269016
142497,540,583,1957027,511933666
706870,521,583,1957027,603217278
722816,516,583,1957027,493876287
823123,519,583,1957027,619706076
1565374,520,583,1957027,510581737
1626271,516,583,1957027,543751053
1745103,565,583,1957027,533761807
1950369,583,583,1957027,530938675
4456,517,584,1957027,499924812
84331,552,584,1957027,601878992
115031,517,584,1957027,499421580
123999,572,584,1957027,553869019
142902,582,584,1957027,551488425
236294,543,584,1957027,608873961
722861,517,584,1957027,491715569
873384,562,584,1957027,531900583
1176107,576,584,1957027,571035467
1604697,572,584,1957027,570534798
1628925,517,584,1957027,545381450
1643368,546,584,1957027,563341898
5268,518,585,1957027,502389068
116759,518,585,1957027,501222865
127963,583,585,1957027,552949493
449543,533,585,1957027,538934936
1607530,530,585,1957027,549896230
1629249,518,585,1957027,546458942
5315,519,586,1957027,504363670
51241,549,586,1957027,603588475
112693,520,586,1957027,494408809
114520,519,586,1957027,503352024
443831,534,586,1957027,513902335
722817,519,586,1957027,498051693
1152261,586,586,1957027,538378988
1617298,537,586,1957027,556346594
1618238,534,586,1957027,555624575
1625696,519,586,1957027,545216016
1738526,542,586,1957027,517692953
1750661,577,586,1957027,543834236
1953803,580,586,1957027,530556945
25630,543,587,1957027,531656630
51715,550,587,1957027,605558300
52140,539,587,1957027,604855149
54052,563,587,1957027,610517768
232793,558,587,1957027,591234161
1154932,585,587,1957027,550648026
44003,496,588,1957027,659982973
97676,537,588,1957027,612138588
121723,570,588,1957027,549138173
229995,559,588,1957027,594111383
242885,524,588,1957027,588331452
1148727,588,588,1957027,544701588
1186425,575,588,1957027,591415767
1471152,521,588,1957027,513158154
1551041,521,588,1957027,518932599
1557004,525,588,1957027,503322124
1762848,521,588,1957027,519582997
88764,538,589,1957027,622908067
219352,561,589,1957027,629460491
706718,531,589,1957027,602691619
768292,522,589,1957027,522052015
1152026,589,589,1957027,546660666
1170173,581,589,1957027,586696750
1469783,522,589,1957027,520772496
1546492,522,589,1957027,510465552
1565994,526,589,1957027,520958931
1761348,522,589,1957027,517398167
1939828,526,589,1957027,458882536
25095,554,590,1957027,544517582
45909,472,590,1957027,653455622
82361,541,590,1957027,611732209
217514,554,590,1957027,615108265
706559,530,590,1957027,606749597
767875,523,590,1957027,524519722
1170539,577,590,1957027,592944538
1183530,582,590,1957027,585184699
1470372,523,590,1957027,517543388
1546575,523,590,1957027,510340968
1572341,527,590,1957027,513963540
1744078,581,590,1957027,551656328
1762842,523,590,1957027,520262693
188699,539,591,1957027,574745271
197921,562,591,1957027,599037392
770589,524,591,1957027,526039830
824411,518,591,1957027,628377480
1176413,583,591,1957027,588199453
1178572,578,591,1957027,592530290
1552806,524,591,1957027,520287692
1581638,528,591,1957027,476827045
1616998,535,591,1957027,561259744
1764923,524,591,1957027,528699378
50790,557,592,1957027,616026545
82444,548,592,1957027,618381734
195976,551,592,1957027,605351185
223868,555,592,1957027,611514456
229835,540,592,1957027,569160378
232885,563,592,1957027,591716575
233625,557,592,1957027,583078956
770042,525,592,1957027,528752522
819830,528,592,1957027,619837298
1171706,584,592,1957027,589790808
1585527,529,592,1957027,478770654
1625557,525,592,1957027,546895910
187891,541,593,1957027,563425404
453621,541,593,1957027,554905518
772431,526,593,1957027,530351549
1179693,580,593,1957027,597549922
1629891,526,593,1957027,560082289
113318,527,594,1957027,508604298
115390,534,594,1957027,516947350
200906,566,594,1957027,629715846
232922,565,594,1957027,595676999
823890,530,594,1957027,611053426
1634605,527,594,1957027,529358938
1744722,585,594,1957027,555489191
1760868,538,594,1957027,519530730
3720,548,595,1957027,529145553
6490,528,595,1957027,521556514
114920,528,595,1957027,518814958
225416,556,595,1957027,601238532
229324,567,595,1957027,606579608
826048,531,595,1957027,604367655
1642245,528,595,1957027,538266037
1786403,539,595,1957027,522246704
9807,529,596,1957027,522326294
19186,540,596,1957027,532104048
89312,547,596,1957027,619922702
220358,568,596,1957027,638497555
446258,544,596,1957027,534731318
824101,532,596,1957027,629769995
1188611,596,596,1957027,552102138
14501,530,597,1957027,524402968
115328,535,597,1957027,520320295
140688,597,597,1957027,579077593
174273,544,597,1957027,638244452
174465,530,597,1957027,637738229
181309,584,597,1957027,606870708
450886,545,597,1957027,537724876
723483,538,597,1957027,521185815
869577,544,597,1957027,525894647
1163039,590,597,1957027,583625981
1755971,530,597,1957027,530291618
1778121,541,597,1957027,522652627
1946477,591,597,1957027,541247079
17543,531,598,1957027,522406430
224097,560,598,1957027,617112989
229008,570,598,1957027,610566330
451934,546,598,1957027,554364334
1150613,598,598,1957027,555724049
1171164,591,598,1957027,588012327
1763988,531,598,1957027,539483092
18694,532,599,1957027,523576064
90094,525,599,1957027,665578504
215720,564,599,1957027,641953024
220422,571,599,1957027,640850691
448095,547,599,1957027,526426301
1608684,562,599,1957027,564985369
1761654,532,599,1957027,534196541
15104,533,600,1957027,529979425
187679,548,600,1957027,577575628
237281,572,600,1957027,607063486
444564,548,600,1957027,523133748
822010,520,600,1957027,674036927
1020004,587,600,1957027,607374565
1188303,587,600,1957027,609345348
1761734,533,600,1957027,536517790
8647,547,601,1957027,532554620
10779,534,601,1957027,530820881
45627,487,601,1957027,667053554
165786,586,601,1957027,616149605
198412,552,601,1957027,592560526
875002,547,601,1957027,532129637
1742794,579,601,1957027,559408826
1747175,595,601,1957027,567931924
1762116,534,601,1957027,528789098
1917021,538,601,1957027,458060217
8871,553,602,1957027,542037720
9704,535,602,1957027,533881837
44598,503,602,1957027,672561416
200392,538,602,1957027,613074010
658686,539,602,1957027,457899353
761658,535,602,1957027,541923805
870648,548,602,1957027,533502190
873474,553,602,1957027,538287586
1569042,539,602,1957027,528133624
1762099,535,602,1957027,527128574
1774454,544,602,1957027,529241048
1859139,570,602,1957027,583344704
8169,536,603,1957027,530183134
55184,565,603,1957027,636166772
164052,529,603,1957027,657576169
225533,573,603,1957027,627951663
757860,536,603,1957027,544324548
1150782,603,603,1957027,565582542
1162685,597,603,1957027,590173853
1611020,536,603,1957027,570168636
1748267,589,603,1957027,561111806
1763081,536,603,1957027,533870508
1783536,547,603,1957027,532587143
1940209,540,603,1957027,469653494
1947972,597,603,1957027,558999842
1951095,592,603,1957027,558533082
4949,537,604,1957027,529020186
194203,545,604,1957027,535507786
196314,547,604,1957027,619339444
232175,576,604,1957027,611102327
235157,575,604,1957027,603471426
404637,552,604,1957027,512372413
758127,537,604,1957027,545593743
1560616,541,604,1957027,477954956
1764343,537,604,1957027,537390059
171187,550,605,1957027,652414558
224908,577,605,1957027,637354754
445005,553,605,1957027,534363426
450879,562,605,1957027,584106670
870070,551,605,1957027,540673837
1154466,605,605,1957027,574266000
1178243,592,605,1957027,619701260
1608561,556,605,1957027,564837839
1638194,541,605,1957027,549383781
1906685,542,605,1957027,478897989
1953329,593,605,1957027,558035841
165408,591,606,1957027,624976374
200839,542,606,1957027,588045633
226689,578,606,1957027,633962540
451528,554,606,1957027,569408346
451938,555,606,1957027,563179132
870613,552,606,1957027,538388641
1162031,600,606,1957027,593808716
1186327,593,606,1957027,621102007
1915561,543,606,1957027,471435766
1947901,600,606,1957027,563967387
172814,585,607,1957027,636150754
456219,557,607,1957027,548391420
764485,540,607,1957027,552571602
1497339,544,607,1957027,534818593
1764739,540,607,1957027,546725351
1943332,544,607,1957027,478900861
50747,575,608,1957027,645741704
223420,580,608,1957027,637781229
454478,556,608,1957027,553109561
1153399,608,608,1957027,574831921
1557138,545,608,1957027,521248052
1964037,602,608,1957027,558896754
8457,542,609,1957027,539091558
8666,546,609,1957027,540381164
822054,529,609,1957027,660043058
1563882,546,609,1957027,526183120
1643639,550,609,1957027,565205231
1779993,545,609,1957027,536831624
445745,558,610,1957027,525291843
764768,543,610,1957027,555934870
1563988,547,610,1957027,518878878
1609038,564,610,1957027,577643732
1613333,543,610,1957027,582457604
1762213,543,610,1957027,545145031
1811933,604,610,1957027,561716296
179109,598,611,1957027,627322423
226700,583,611,1957027,637120811
407347,559,611,1957027,520017108
1519192,548,611,1957027,512783228
1628058,544,611,1957027,569045860
1752644,599,611,1957027,578091343
1876923,596,611,1957027,603818185
1944638,548,611,1957027,485260744
55135,567,612,1957027,650034864
106672,606,612,1957027,569045213
171163,549,612,1957027,659270540
173359,574,612,1957027,649089020
452539,564,612,1957027,588051338
869514,570,612,1957027,552534275
875249,564,612,1957027,548310180
1005695,604,612,1957027,619711499
1509803,549,612,1957027,536508107
1866753,572,612,1957027,570140122
326389,549,613,1957027,610433620
1169005,602,613,1957027,634847863
1184872,613,613,1957027,580913254
1516936,550,613,1957027,543001110
1783197,546,613,1957027,549935268
165149,599,614,1957027,635828295
175402,531,614,1957027,696788900
179914,601,614,1957027,635220795
326526,550,614,1957027,612330297
874639,572,614,1957027,555991060
1012477,606,614,1957027,624791921
1014641,601,614,1957027,629031324
1167455,607,614,1957027,620185801
1558863,551,614,1957027,522229352
334022,551,615,1957027,579106093
1564101,552,615,1957027,524494508
1780596,548,615,1957027,557443034
1854971,551,615,1957027,576576053
1876752,593,615,1957027,601540041
105367,610,616,1957027,567999587
212525,553,616,1957027,587476650
453390,578,616,1957027,580455264
1006480,610,616,1957027,575042879
1780769,549,616,1957027,561703264
1812297,610,616,1957027,573988755
1852061,601,616,1957027,587643691
1870922,552,616,1957027,584253100
1910411,553,616,1957027,495323369
1782440,550,617,1957027,561965309
1851207,578,617,1957027,559909164
1876187,602,617,1957027,609589292
1914959,554,617,1957027,488015667
1953660,611,617,1957027,583167093
159903,605,618,1957027,640371567
416737,566,618,1957027,512318209
1777251,562,618,1957027,547117400
1851793,584,618,1957027,567819167
1930619,555,618,1957027,498047153
1945373,612,618,1957027,577931591
1013842,609,619,1957027,637188629
1941950,556,619,1957027,488956406
170126,569,620,1957027,663855772
174769,532,620,1957027,703173189
181947,604,620,1957027,649710401
448637,568,620,1957027,542258123
826988,549,620,1957027,643315921
1160078,617,620,1957027,616463882
1168841,612,620,1957027,649596179
1609909,557,620,1957027,585914919
1862541,591,620,1957027,606409252
1872221,592,620,1957027,609609767
1942879,557,620,1957027,486714638
1963396,614,620,1957027,580492741
183097,608,621,1957027,645683454
997991,541,621,1957027,703893739
1760724,554,621,1957027,542281449
1779262,564,621,1957027,549244815
1933570,558,621,1957027,503644064
105322,616,622,1957027,580744940
1168645,614,622,1957027,650840987
1766017,555,622,1957027,570323648
1772881,566,622,1957027,561887398
1932131,559,622,1957027,506246467
418008,571,623,1957027,519185130
1168588,615,623,1957027,651992856
1556038,560,623,1957027,518353906
1768585,556,623,1957027,561771698
1770613,557,623,1957027,557082517
1882128,595,623,1957027,617844044
1919696,560,623,1957027,488176438
104963,618,624,1957027,589035122
329582,560,624,1957027,619058769
470303,595,624,1957027,580264920
537363,561,624,1957027,479225265
826892,550,624,1957027,650944483
1018041,618,624,1957027,590436675
1160251,621,624,1957027,616923843
1168718,616,624,1957027,653683463
1881971,582,624,1957027,596476286
1912893,561,624,1957027,493224460
439244,573,625,1957027,530670811
997979,545,625,1957027,711027863
1006573,619,625,1957027,590081731
1766088,558,625,1957027,565978885
661288,563,626,1957027,484066809
772964,559,626,1957027,581839477
997797,546,626,1957027,712736227
1159975,626,626,1957027,618616566
1556691,563,626,1957027,521683722
1754959,559,626,1957027,577112853
1914210,563,626,1957027,494245149
156302,602,627,1957027,662750138
333463,563,627,1957027,598936488
747853,560,627,1957027,579744997
1021633,622,627,1957027,595899278
1852701,590,627,1957027,575226614
1860711,583,627,1957027,625245343
1941053,564,627,1957027,503386338
284323,561,628,1957027,580784105
442917,593,628,1957027,574237594
631510,565,628,1957027,486602929
998464,554,628,1957027,702110672
1182000,620,628,1957027,651375956
1509619,565,628,1957027,553084725
1871983,600,628,1957027,627395556
1913961,565,628,1957027,494297133
105878,623,629,1957027,586341501
260904,562,629,1957027,585739376
330004,565,629,1957027,626770621
421053,577,629,1957027,521695372
1759198,573,629,1957027,563299484
1935024,566,629,1957027,501437142
1963046,623,629,1957027,595776780
545058,567,630,1957027,485472689
1001945,599,630,1957027,668096146
1017718,623,630,1957027,629839080
1809431,624,630,1957027,592500412
1883959,588,630,1957027,596308050
1913683,567,630,1957027,501699900
272691,564,631,1957027,587952498
1006587,625,631,1957027,600349205
1873629,605,631,1957027,635518953
1880475,607,631,1957027,601056830
102405,614,632,1957027,598471669
104387,611,632,1957027,596686981
169652,581,632,1957027,683486126
240226,569,632,1957027,623955992
471857,580,632,1957027,571756635
659031,569,632,1957027,494648438
1166256,629,632,1957027,636345160
1856013,575,632,1957027,602569192
1921164,569,632,1957027,505952921
107208,627,633,1957027,603198754
267534,566,633,1957027,590373443
334778,569,633,1957027,631167454
536052,570,633,1957027,496011805
775926,566,633,1957027,590285843
1000537,620,633,1957027,661045547
1010930,624,633,1957027,662607232
1017961,627,633,1957027,604218648
1808259,627,633,1957027,601408410
1881529,604,633,1957027,606423135
178660,592,634,1957027,681839030
312294,570,634,1957027,644215565
405805,616,634,1957027,603610792
410366,582,634,1957027,541296153
1009103,631,634,1957027,621908206
1019707,633,634,1957027,615508150
1166191,634,634,1957027,626280895
1883852,587,634,1957027,630398593
1934396,571,634,1957027,501442364
162200,572,635,1957027,691961772
272704,568,635,1957027,595213509
415822,579,635,1957027,529454379
548135,572,635,1957027,490529402
773236,568,635,1957027,570777626
1005698,628,635,1957027,644534971
1009236,632,635,1957027,629430898
1769266,576,635,1957027,581575398
1784422,568,635,1957027,575279786
103165,630,636,1957027,610433647
330740,572,636,1957027,612251125
405819,626,636,1957027,605685285
1022196,630,636,1957027,611754350
1862976,598,636,1957027,620198030
1878374,618,636,1957027,625202363
1881881,594,636,1957027,605681022
1936040,573,636,1957027,514029404
157148,579,637,1957027,696120184
360065,628,637,1957027,601746059
406007,622,637,1957027,603360121
426859,585,637,1957027,515160018
575792,574,637,1957027,493427986
1807384,631,637,1957027,609136749
1851874,609,637,1957027,636789578
1869397,608,637,1957027,596922024
1907590,574,637,1957027,495972190
156983,587,638,1957027,687613712
270115,571,638,1957027,601831704
325920,567,638,1957027,657142905
334907,574,638,1957027,652593386
423615,586,638,1957027,521509954
469297,596,638,1957027,591631149
545232,575,638,1957027,501399021
748581,571,638,1957027,594975500
994553,558,638,1957027,729857483
1005031,637,638,1957027,629210250
1759328,571,638,1957027,568141519
1807900,632,638,1957027,612006883
1857383,580,638,1957027,597875235
1864235,603,638,1957027,626683338
326896,575,639,1957027,652999515
423649,587,639,1957027,517527850
1814185,633,639,1957027,613167612
1869889,597,639,1957027,584519426
1943294,576,639,1957027,507991225
156175,590,640,1957027,685247539
275233,573,640,1957027,603357682
360304,631,640,1957027,608719372
419876,581,640,1957027,530128307
